director,stars,country,url,Release Year,Released,plot
Damian Lee,"Jesse Ventura, Sven-Ole Thorsen, Damian Lee",United States,"https://en.wikipedia.org/wiki/Abraxas,_Guardian_of_the_Universe",1991,3/1/1991,"An alien ""policeman"" arrives on Earth to apprehend a renegade of his own race who impregnates a woman with a potentially destructive mutant embryo."
"Corey Yuen, Jeffrey Lau","Stephen Chow, Ng Man Tat",Hong Kong,https://en.wikipedia.org/wiki/All_for_the_Winner,1990,6/10/1990,"A man discovers that his dumb, lovable nephew can see through objects and decides to unleash him into the world of gambling."
Walter Hill,"Nick Nolte, Eddie Murphy",United States,https://en.wikipedia.org/wiki/Another_48_Hrs.,1990,6/8/1990,"Jack Cates once again enlists the aid of ex-con Reggie Hammond--this time, to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area."
Albert Pyun,Matt Salinger,United StatesYugoslavia,https://en.wikipedia.org/wiki/Captain_America_(1990_film),1990,12/14/1990,"Frozen in the ice for decades, Captain America is freed to battle against archcriminal The Red Skull."
Sam Raimi,"Liam Neeson, Frances McDormand",United States,https://en.wikipedia.org/wiki/Darkman,1990,8/24/1990,A brilliant scientist left for dead returns to exact revenge on the people who burned him alive.
Aaron Norris,"Chuck Norris, Billy Drago, Bobby Chavez",United States,https://en.wikipedia.org/wiki/Delta_Force_2:_The_Colombian_Connection,1990,8/24/1990,Add a Plot »
Warren Beatty,"Warren Beatty, Madonna",United States,https://en.wikipedia.org/wiki/Dick_Tracy_(1990_film),1990,6/14/1990,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.
Bruce Malmuth,"Steven Seagal, Kelly Le Brock, Bill Sadler",United States,https://en.wikipedia.org/wiki/Hard_to_Kill,1990,2/9/1990,"Left for dead with his wife killed in their house, L.A. Detective Mason Storm will have to make a quick recovery, expose those behind the murder and take revenge."
Craig R. Baxley,"Dolph Lundgren, Betsy Brantley, Brian Benben",United States,https://en.wikipedia.org/wiki/I_Come_in_Peace,1990,9/28/1990,Add a Plot »
Sheldon Lettich,Jean-Claude Van Damme,United States,https://en.wikipedia.org/wiki/Lionheart_(1990_film),1991,1/11/1991,An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.
William Lustig,"Robert Davi, Claudia Christian, Michael Lerner",United States,https://en.wikipedia.org/wiki/Maniac_Cop_2,1990,1990,"A supernatural, maniac killer cop teams up with a Times Square serial killer."
Dwight H. Little,"Steven Seagal, Basil Wallace, Keith David",United States,https://en.wikipedia.org/wiki/Marked_for_Death,1990,10/5/1990,A retired DEA agent is out to hunt down and take out a Jamaican drug posse that has targeted he and his family for murder.
Peter Hyams,"Gene Hackman, Anne Archer, James B. Sikking",United States,https://en.wikipedia.org/wiki/Narrow_Margin,1990,9/21/1990,A Los Angeles Deputy District Attorney is sent to protect a woman who accidentally witnessed a Mafia murder.
Kevin S. Tenney,"Robert Forster, Lance Edwards, Hilary Shepard",United States,https://en.wikipedia.org/wiki/Peacemaker_(1990_film),1990,7/2/1990,Add a Plot »
Steven Barron,"Judith Hoag, Elias Koteas, Ray Serra",United States,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_(1990_film),1990,3/30/1990,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home."
Clint Eastwood,"Clint Eastwood, Charlie Sheen, Raúl Juliá",United States,https://en.wikipedia.org/wiki/The_Rookie_(1990_film),1990,12/7/1990,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis."
Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone",United States,https://en.wikipedia.org/wiki/Total_Recall_(1990_film),1990,6/1/1990,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?"
Stephen Shin,"Simon Yam, Thomas Lam, Jade Leung",Hong Kong,https://en.wikipedia.org/wiki/Black_Cat_(1991_film),1991,8/17/1991,Two women are raped and killed by samurai soldiers. Soon they reappear as vengeful ghosts who seduce and brutally murder the passing samurai.
Gordon Chan,"Stephen Chow, Sharla Cheung, Roy Cheung",Hong Kong,https://en.wikipedia.org/wiki/Fight_Back_to_School,1991,NULL,A SWAT team leader is going undercover at a high school to retrieve a stolen gun for his captain.
Joseph Merhi ,"Lorenzo Lamas, Kathleen Kinmont, Gary Daniels ",United States ,https://en.wikipedia.org/wiki/Final_Impact_(film),1991,NULL,"Nick, former world champion in kick boxing, discovers Danny, who just became light heavy-weight champion of Ohio. Danny is very ambitious to become world champion, so Nick offers to train ... See full summary »"
Wong Jing,"Andy Lau, Stephen Chow, Ng Man Tat",Hong Kong,https://en.wikipedia.org/wiki/God_of_Gamblers_II,1990,12/13/1990,"Wong Jing's sequel to All for the Winner and spin-off to God of Gamblers finds Chow Sing Cho looking up to Michael ""Dagger"" Chan in order to become Ko Chun's next disciple, but the two must... See full summary »"
Simon Wincer,"Mickey Rourke, Don Johnson, Chelsea Field",United States,https://en.wikipedia.org/wiki/Harley_Davidson_and_the_Marlboro_Man,1991,8/23/1991,"Forced by the imminent foreclosure of their friend's bar, two lifelong buddies will decide to rob a bank's armoured car, not knowing that its cargo is not money but a new street drug."
Amir Shervan,"Robert Z'Dar, Mark Hannon, Mark Frazer",United States,https://en.wikipedia.org/wiki/Samurai_Cop,1991,1991,"Joe Marshall and Frank Washington are two tenacious police detectives who seek at all costs to stop the Katana, a renegade Yakuza gang composed of violent and sadistic killers who want to lead the drug trade in Los Angeles."
Mark L. Lester,"Dolph Lundgren, Brandon Lee, Cary-Hiroyuki Tagawa",United States,https://en.wikipedia.org/wiki/Showdown_in_Little_Tokyo,1991,8/23/1991,"Two L.A. cops with opposing views on what is the best way to uphold the law have to work together to bring down the Yakuza, while trying to protect a beautiful woman."
James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",United States,https://en.wikipedia.org/wiki/Terminator_2:_Judgment_Day,1991,7/1/1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
Ted Post ,Michael Dudikoff ,United States ,https://en.wikipedia.org/wiki/The_Human_Shield,1991,1991,"An ex-Marine who was hired to train Iraqi soldiers to fight Iran returns to Iraq as a CIA agent to free his brother, who has been imprisoned there by a renegade general."
Mark DiSalle ,"Jeff Speakman, John Dye, Mako ",United States ,https://en.wikipedia.org/wiki/The_Perfect_Weapon_(1991_film),1991,NULL,"Jeff, a young delinquent, is enrolled by his father in a kenpo school, in the hopes of teaching the boy some self-discipline. Years later, Jeff's mentor, Kim, is being threatened by one of ... See full summary »"
Keita Amemiya,NULL,Japan,https://en.wikipedia.org/wiki/Zeram,1991,1991-08,Bounty hunters Iria and Bob travel to Earth to capture an escaped bio-engineered fighting machine called Zeiramu.
John Glen,"Louis Gossett Jr., Paul Freeman, Rachel McLish",United States,https://en.wikipedia.org/wiki/Aces:_Iron_Eagle_III,1992,1/9/1992,"Chappy discovers a drug-smuggling scheme at his own air base. It turns out that the lives of some village people in Peru are at stake, and he decides to fly there with ancient airplanes and friends to free them."
John Woo,"Chow Yun-fat, Tony Leung Chiu-Wai, Anthony Wong",Hong Kong,https://en.wikipedia.org/wiki/Hard_Boiled,1992,4/16/1992,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci",United States,https://en.wikipedia.org/wiki/Lethal_Weapon_3,1992,5/15/1992,Martin Riggs and Roger Murtaugh pursue a former LAPD officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.
Christian Duguay,"Pierce Brosnan, Ron Silver, Ben Cross",United States,https://en.wikipedia.org/wiki/Live_Wire_(film),1992,5/1/1992,"After A US senator is killed, A Bomb Disposal Expert is brought in to investigate the deadly explosive and must uncover the terrorists plan."
Johnnie To,"Maggie Cheung, Michelle Yeoh, Anita Mui",Hong Kong,https://en.wikipedia.org/wiki/The_Heroic_Trio,1993,2/12/1993,"The all-female Heroic Trio are Tung (Wonder Woman), Chat (Thief Catcher), a mercenary, and Ching (Invisible Woman). Initially, they're on opposing sides - the invisible Ching is kidnapping ... See full summary »"
Tsui Hark ,"Jet Li, Yuen Wah, Jerry Trimble ",Hong Kong ,https://en.wikipedia.org/wiki/The_Master_(1992_film),1992,5/28/1992,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by the Cause and its charismatic leader.
C. Courtney Joyner,Ed Beechner,United States,https://en.wikipedia.org/wiki/Trancers_III,1992,10/14/1992,"A time cop is sent back to the 23rd Century to finish his battle against zombie-like beings called Trancers, with the help of his wife and an ex-con."
"Ringo Lam, Tsui Hark","Jackie Chan, Maggie Cheung, Philip Chan",Hong Kong,https://en.wikipedia.org/wiki/Twin_Dragons,1992,1/15/1992,"Identical twins are separated at birth, one becoming a streetwise mechanic, and the other an acclaimed classical concert conductor. Finally meeting in adulthood, they each become mistaken for the other and entangled in each other's world."
Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey",United States,https://en.wikipedia.org/wiki/Under_Siege,1992,10/9/1992,An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.
Boaz Davidson ,"Joe Lara, Nicole Hansen, John Saint Ryan ",United States ,https://en.wikipedia.org/wiki/American_Cyborg:_Steel_Warrior,1994,1/7/1994,After the nuclear war people are sterile and ruled by the artifical intelligences they created in this violent world. The only woman who was able to give life to a child has to take the ... See full summary »
Frank Cappello ,"Viggo Mortensen, Ryo Ishibashi, Michael Nouri ",United States ,https://en.wikipedia.org/wiki/American_Yakuza,1993,12/22/1993,An American FBI agent is lured away by the Japanese Mafia--the Yakuza--in this action film.
"Eric Radomski, Bruce Timm",NULL,United States,https://en.wikipedia.org/wiki/Batman:_Mask_of_the_Phantasm,1993,12/24/1993,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.
Takashi Miike,"Hisao Maki, Masaru Matsuda, Takeshi Yamato",Japan,https://en.wikipedia.org/wiki/Bodyguard_Kiba_(1993_film),1993,6/25/1993,"A ex-prisoner hires the invincible bodyguard Kiba to protect him from vengeful Yakuza, while he travels cross-country to the location of some hidden loot."
Kurt Anderson ,"Lorenzo Lamas, Matthias Hues, Cyndi Pass ",GermanyUnited States ,https://en.wikipedia.org/wiki/Bounty_Tracker,1993,9/8/1993,"Almost the whole staff of a tax consultant office is slayed by a team of professional killers, only Paul Damone can escape. He didn't know that his partner used to wash gangster Louis ... See full summary »"
Lorenzo Lamas ,"Lorenzo Lamas, Kathleen Kinmont, John Savage ",United States ,https://en.wikipedia.org/wiki/CIA_II:_Target_Alexa,1993,12/6/1993,"Alexa is one of the best, but her handiwork is done for terrorists. When she is finally captured, it is up to CIA agent Graver to turn her against her latest employer who has diplomatic ... See full summary »"
Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker",United States,https://en.wikipedia.org/wiki/Cliffhanger_(film),1993,5/28/1993,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.
Kirk Wong,"Jackie Chan, Kent Chang, Law Kar-ying",Hong Kong,https://en.wikipedia.org/wiki/Crime_Story_(film),1993,6/24/1993,The saga of a Chicago police detective's efforts to stop a young hood's ruthless rise in the ranks of organized crime.
Jon Hess ,"Thomas Ian Griffith, Lance Henriksen, James Earl Jones, Tony Todd ",United States ,https://en.wikipedia.org/wiki/Excessive_Force_(film),1993,5/14/1993,"A group of Chicago cops are involved in a raid from which $3,000,000 disappears. The local mob go after them and the body count starts to rise. The new Chief of Police makes it clear to the... See full summary »"
Mark L. Lester ,"Scott Glenn, Lou Diamond Phillips, Chelsea Field ",United States ,https://en.wikipedia.org/wiki/Extreme_Justice_(film),1993,NULL,"A rogue cop joins an elite L.A.P.D. unit who secretly operate as a vigilante death squad, but soon begins to question their methods."
Yuen Woo Ping,"Yu Rongguang, Donnie Yen, Jean Wang",Hong Kong,https://en.wikipedia.org/wiki/Iron_Monkey_(1993_film),1993,9/3/1993,A martial artist/doctor steals from the corrupt authorities as a masked thief to give to the poor while another martial artist/doctor is forced to hunt him down. But a major threat unites them as a powerful and traitorous shaolin monk takes over the authorities.
Arturo San Agustin,"Robin Padilla, Tony Ferrer, Aurora Sevilla",Philippines,https://en.wikipedia.org/wiki/Manila_Boy,1993,9/22/1993,Add a Plot »
Kurt Anderson ,"Jeff Wincott, Gary Hudson, Richard Jaeckel ",United States ,https://en.wikipedia.org/wiki/Martial_Outlaw,1993,1993,"A DEA agent and his brother, a Los Angeles cop, battle the Russian mafia."
Robert Harmon,"Jean-Claude Van Damme, Rosanna Arquette, Joss Ackland",United States,https://en.wikipedia.org/wiki/Nowhere_to_Run_(1993_film),1993,1/15/1993,"Sam, an escaped convict, lands up on a farmland owned by a widow. When he learns that a ruthless contractor is trying to take over her land, he helps her to fight against the injustice."
Stanley Tong,"Michelle Yeoh, Yu Rongguang",Hong Kong,https://en.wikipedia.org/wiki/Once_a_Cop,1993,10/21/1993,"As a crime wave sweeps through Hong Kong, the police call on Jessica Yang, a rising star in their ranks, to help stop a notorious gang of thieves."
Tsui Hark,"Rosamund Kwan, Lau Shun, Jet Li",Hong Kong,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_China_III,1993,2/11/1993,"Master Wong and his disciples enroll in the 'Dancing Lion Competition' to stop an assassination plot and to battle an arrogant, deceitful opponent."
Yuen Bun,Zhao Wenzhuo,Hong Kong,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_China_IV,1993,6/10/1993,Wong Fei Hung must deal with both foreign threats and the nationalist Red Lantern Society in this continuation of the popular kung fu series.
Sheldon Lettich,"Mark Dacascos, Stacey Travis, Geoffrey Lewis",United States,https://en.wikipedia.org/wiki/Only_the_Strong_(film),1993,8/27/1993,"Ex-Special Forces soldier Louis Stevens returns to Miami to find his former high school overrun by drugs and violence. A master of the Brazilian martial art, capoeira, Stevens pledges to ... See full summary »"
John Badham,"Bridget Fonda, Gabriel Byrne, Dermot Mulroney",United States,https://en.wikipedia.org/wiki/Point_of_No_Return_(1993_film),1993,3/19/1993,A government fakes the death of a criminal to turn this young woman into a killer on its service.
T. J. Scott ,"Billy Blanks, Jalal Merhi, Bolo Yeung, Matthias Hues ",CanadaUnited States ,https://en.wikipedia.org/wiki/TC_2000_(film),1993,1993,"Somewhere in the future the environmental overkill had come. Many people had died. The rich were able to build the underworld, the poor had to stay on the surface building gangs to survive.... See full summary »"
Stanley Wing Siu ,"Cynthia Khan, Moon Lee, Yukari Oshima, Michiko Nishiwaki ",Hong Kong ,https://en.wikipedia.org/wiki/The_Avenging_Quartet,1993,1993,A female Chinese cop teams up with a lady kung-fu master to stop two female Japanese gangsters from stealing a valuable painting.
Andrew Davis,"Harrison Ford, Tommy Lee Jones",United States,https://en.wikipedia.org/wiki/The_Fugitive_(1993_film),1993,8/6/1993,"With the city in a state of panic and misinformation traveling at the speed of social media, Mike's life and family hang in the balance as he becomes - The Fugitive."
Robert Townsend,"Robert Townsend, Marla Gibbs, Eddie Griffin",United States,https://en.wikipedia.org/wiki/The_Meteor_Man_(film),1993,8/6/1993,A high school teacher from a troubled inner city Washington D.C. neighborhood becomes a super-powered hero and takes on the gang that has been terrorizing his streets.
Herbert Ross,"Kathleen Turner, Dennis Quaid, Fiona Shaw",United States,https://en.wikipedia.org/wiki/Undercover_Blues,1993,9/10/1993,"A spy couple on maternity leave in New Orleans, entertained by a mugger named Muerte, is called in when Novacek steals explosives."
Godfrey Hall,"Cynthia Rothrock, Don Niam, John Miller",Hong Kong,https://en.wikipedia.org/wiki/Undefeatable,1993,9/29/1993,Kristi Jones (Cynthia Rothrock) avenges her sister's death at the hands of a crazed martial arts rapist.
Keenen Ivory Wayans,"Keenen Ivory Wayans, Charles S. Dutton, Jada Pinkett Smith",United States,https://en.wikipedia.org/wiki/A_Low_Down_Dirty_Shame,1994,11/23/1994,"An ex-cop, now a private detective, takes on the search for the millions stolen by a drug lord."
Wong Kar-wai,"Brigitte Lin, Leslie Cheung, Maggie Cheung",Hong Kong,https://en.wikipedia.org/wiki/Ashes_of_Time,1994,9/17/1994,A broken-hearted hit man moves to the desert where he finds skilled swordsmen to carry out his contract killings.
Mike Binder,"Damon Wayans, David Alan Grier",United States,https://en.wikipedia.org/wiki/Blankman,1994,8/19/1994,A simpleton inventor becomes a superhero with a bulletproof costume and a low budget.
Ringo Lam,"Willie Chi, Lin Quan, Yang Sheng",Hong Kong,https://en.wikipedia.org/wiki/Burning_Paradise,1994,3/26/1994,"An exotic, legendary battle between the forces of good and evil comes to life as the celebrated disciples of the Shaolin Temple -- monks who practice a lethal and spiritual form of martial ... See full summary »"
Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer",United States,https://en.wikipedia.org/wiki/Clear_and_Present_Danger_(film),1994,8/3/1994,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.
Allan A. Goldstein,"Charles Bronson, Lesley-Anne Down, Michael Parks",United States,https://en.wikipedia.org/wiki/Death_Wish_V:_The_Face_of_Death,1994,1/14/1994,"Paul Kersey is back at working vigilante justice when his fiancée, Olivia, has her business threatened by mobsters."
James Yukich,"Robert Patrick, Mark Dacascos, Scott Wolf",United States,https://en.wikipedia.org/wiki/Double_Dragon_(film),1994,11/4/1994,"Two brothers have half of a powerful ancient Chinese talisman. An evil gang leader has the other half, and determines to get the brothers' half and have a complete medallion so he can gain absolute power."
John Badham,"Wesley Snipes, Gary Busey, Yancy Butler",United States,https://en.wikipedia.org/wiki/Drop_Zone_(film),1994,12/9/1994,A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.
Gordon Chan,"Jet Li, Paul Chiang, Chin Siu Ho",Hong Kong,https://en.wikipedia.org/wiki/Fist_of_Legend,1994,12/22/1994,"In 1937, a Chinese martial artist returns to Shanghai to find his teacher dead and his school harassed by the Japanese."
Deran Sarafian,"Christopher Lambert, Mario Van Peebles, Denis Leary",United States,https://en.wikipedia.org/wiki/Gunmen_(1994_film),1994,2/4/1994,"USD400,000,000 is stolen and a drug lord wants it back. The killed thief's brother is broken out of prison by a DEA bounty hunter to help find the money boat. The body count continues in Latin America."
"Stephen Chow, Lee Lik-chee",NULL,Hong Kong,https://en.wikipedia.org/wiki/Love_on_Delivery,1994,NULL,"To prove himself to a love interest, a delivery boy learns dubious kung fu from an aging charlatan so he can challenge his archrival to a fight."
Perry Lang,"Dolph Lundgren, Charlotte Lewis, B.D. Wong",United States,https://en.wikipedia.org/wiki/Men_of_War_(film),1994,9/3/1994,A former Special Ops soldier leads a group of mercenaries to an island in the South China Sea: their mission is obtain the rights to the unusual treasure that the island beholds.
Steven E. de Souza,"Jean-Claude Van Damme, Raúl Juliá, Ming-Na Wen",United States,https://en.wikipedia.org/wiki/Street_Fighter_(1994_film),1994,12/23/1994,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.
Gregg Champion,"Woody Harrelson, Kiefer Sutherland, Dylan McDermott",United States,https://en.wikipedia.org/wiki/The_Cowboy_Way_(film),1994,6/3/1994,"As they visit New York City, a pair of cowboys have to become unlikely heroes when their friend is kidnapped."
Roger Donaldson,"Alec Baldwin, Kim Basinger, Michael Madsen",United States,https://en.wikipedia.org/wiki/The_Getaway_(1994_film),1994,2/11/1994,An ex-con and his devoted wife must flee from danger when a heist doesn't go as planned.
"Corey Yuen, Wong Jing","Jet Li, Chuen-Hua Chi, Chen Sung-Yung",Hong Kong,https://en.wikipedia.org/wiki/The_New_Legend_Of_Shaolin_(film),1994,3/3/1994,"It takes a father and son team to battle the forces of evil throughout China, fighting with honor to defend the weak through fast-motion kung fu."
James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold",United States,https://en.wikipedia.org/wiki/True_Lies,1994,7/15/1994,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States."
Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore",United States,https://en.wikipedia.org/wiki/Assassins_(film),1995,10/6/1995,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey",United States,https://en.wikipedia.org/wiki/Batman_Forever,1995,6/9/1995,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin."
Tony Scott,"Denzel Washington, Gene Hackman, George Dzundza",United States,https://en.wikipedia.org/wiki/Crimson_Tide_(film),1995,5/12/1995,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so."
Christophe Gans,"Mark Dacascos, Julie Condra, Tchéky Karyo",FranceCanada,https://en.wikipedia.org/wiki/Crying_Freeman_(film),1995,9/14/1995,A woman sees an assassin outside San Francisco killing yakuza men and later in Vancouver. She's been told that he leaves no witness. Will she be his next victim or...?
Robert Rodriguez,"Antonio Banderas, Salma Hayek, Joaquim de Almeida",United States,https://en.wikipedia.org/wiki/Desperado_(film),1995,8/25/1995,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.
Sammo Hung,"Sammo Hung, Yuen Biao",Hong Kong,https://en.wikipedia.org/wiki/Don%27t_Give_a_Damn,1995,2/17/1995,Sammo Hung plays a cop on the trail of drug dealers. Customs officer Yuen Biao is investigating the same gang. Sammo's new partner is eager-beaver Takeshi Kaneshiro. Despite each having ... See full summary »
Andrew Sipes,"William Baldwin, Cindy Crawford, Steven Berkoff",United States,https://en.wikipedia.org/wiki/Fair_Game_(1995_film),1995,11/3/1995,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.
Tony Randel ,"Gary Daniels, Chris Penn, Malcolm McDowell ",United States ,https://en.wikipedia.org/wiki/Fist_of_the_North_Star_(1995_film),1995,Japan,"In the year 199X, human civilization has been all but destroyed by a nuclear holocaust. In an age where the strong rule over the weak, the survivors of the fallout struggle over the ... See full summary »"
Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco",United States,https://en.wikipedia.org/wiki/GoldenEye,1995,11/13/1995,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",United States,https://en.wikipedia.org/wiki/Heat_(1995_film),1995,12/15/1995,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
"Corey Yuen, Wong Jing","Jet Li, Jacky Cheung, Yau Chingmy",Hong Kong,https://en.wikipedia.org/wiki/High_Risk_(1995_film),1995,7/13/1995,"After failing to save his wife from 'The Doctor', Kit Li is working as a bodyguard and secret stunt double for the cowardly martial arts film star Frankie Lane. Frankie attends an ... See full summary »"
Robert Longo,"Keanu Reeves, Dolph Lundgren, Beat Takeshi Kitano",Canada,https://en.wikipedia.org/wiki/Johnny_Mnemonic_(film),1995,5/26/1995,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza."
Masato Harada,"Takeshi Caesar, Chika Nakagami, Mickey Curtis",Japan,https://en.wikipedia.org/wiki/Kamikaze_Taxi,1995,4/25/1995,A revenge-seeking man and his foolish friends plan to rob a yakuza gang.
John Weidner ,"Lorenzo Lamas, James Lew, Mako ",United States ,https://en.wikipedia.org/wiki/Midnight_Man_(1995_film),1995,4/28/1995,"When the police start a crackdown on Yakuza activities, a killer (James Lew) starts killing the cops forcing a martial-arts officer (Lorenzo Lamas) to fight back."
Paul W.S. Anderson,"Robin Shou, Linden Ashby, Bridgette Wilson",United States,https://en.wikipedia.org/wiki/Mortal_Kombat_(1995_film),1995,8/18/1995,Plot unknown. Feature film based on the popular video game.
Christian Duguay,"Ron White, Peter Weller, Jennifer Rubin",United StatesCanadaJapan,https://en.wikipedia.org/wiki/Screamers_(1995_film),1995,9/8/1995,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience."
Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry",United States,https://en.wikipedia.org/wiki/Sudden_Death_(1995_film),1995,12/22/1995,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
Gordon Chan,"Jackie Chan, Anita Yuen, Chor Yuen",Hong Kong,https://en.wikipedia.org/wiki/Thunderbolt_(1995_film),1995,9/1/1995,"In order to release his kidnapped sister, sports car mechanic Chan Foh To (Jackie Chan) has to beat a supercriminal street racer."
Kevin Reynolds,"Kevin Costner, Dennis Hopper, Jeanne Tripplehorn",United States,https://en.wikipedia.org/wiki/Waterworld,1995,7/28/1995,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land."
David Hogan,"Pamela Anderson, Temuera Morrison, Victoria Rowell",United States,https://en.wikipedia.org/wiki/Barb_Wire_(film),1996,5/3/1996,"During the Second American Civil War in 2017, Barb Wire owns a nightclub called the Hammerhead. Things become complicated when her ex-lover Axel Hood, who is married to the fugitive Corrina Devonshire, re-enters her life."
Benny Chan,"Lau Ching-Wan, Francis Ng",Hong Kong,https://en.wikipedia.org/wiki/Big_Bullet,1996,7/26/1996,"After assaulting his tactical commander during a raid gone sour, a dedicated but temperamental cop Sergeant Bill Chu is demoted to the Emergency Unit, long considered to be the police force's dumping ground for problem cops."
Andrew Davis,"Keanu Reeves, Morgan Freeman, Rachel Weisz",United States,https://en.wikipedia.org/wiki/Chain_Reaction_(1996_film),1996,8/2/1996,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.
Rob Cohen,"Sylvester Stallone, Amy Brenneman, Viggo Mortensen",United States,https://en.wikipedia.org/wiki/Daylight_(1996_film),1996,12/6/1996,Disaster in a New York tunnel as explosions collapse both ends of it. One hero tries to help the people inside find their way to safety.
John Carpenter,"Kurt Russell, Stacy Keach, Steve Buscemi",United States,https://en.wikipedia.org/wiki/Escape_from_L.A.,1996,8/9/1996,"Snake Plissken is once again called in by the United States government to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are deported."
Gordon Chan ,"Michael Wong, Gigi Leung, Damian Lau ",Hong Kong ,https://en.wikipedia.org/wiki/First_Option,1996,9/14/1996,"Hong Kong action thriller, about the Hong Kong Police Department's Special Duties Unit. When a raid by customs officials goes drastically wrong, the SDU are called in to deal with the ... See full summary »"
Mamoru Oshii,NULL,Japan,https://en.wikipedia.org/wiki/Ghost_in_the_Shell_(1995_film),1995,11/18/1995,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals."
"Li Lik-Chi, Stephen Chow","Stephen Chow, Karen Mok, Nancy Sit",Hong Kong,https://en.wikipedia.org/wiki/God_of_Cookery,1996,NULL,"The most renowned and feared chef in the world loses his title of God of Cookery because of his pompous attitude. Humbled, he sets out to reclaim his title."
Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum",United States,https://en.wikipedia.org/wiki/Independence_Day_(1996_film),1996,6/25/1996,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
